CodigoNacional;momento;Ts_Valor
390006;01-01-2019 00:00:00;14.6
390006;01-01-2019 01:00:00;14.3
390006;01-01-2019 02:00:00;14.1
390006;01-01-2019 03:00:00;13.7
390006;01-01-2019 04:00:00;13.6
390006;01-01-2019 05:00:00;13.2
390006;01-01-2019 06:00:00;12.5
390006;01-01-2019 07:00:00;11.8
390006;01-01-2019 08:00:00;11.6
390006;01-01-2019 09:00:00;11.6
390006;01-01-2019 10:00:00;10.7
390006;01-01-2019 11:00:00;11.8
390006;01-01-2019 12:00:00;13.8
390006;01-01-2019 13:00:00;14.6
390006;01-01-2019 14:00:00;14.9
390006;01-01-2019 15:00:00;15.9
390006;01-01-2019 16:00:00;17.5
390006;01-01-2019 17:00:00;18.7
390006;01-01-2019 18:00:00;19.0
390006;01-01-2019 19:00:00;18.8
390006;01-01-2019 20:00:00;18.3
390006;01-01-2019 21:00:00;17.6
390006;01-01-2019 22:00:00;16.6
390006;01-01-2019 23:00:00;15.3
390006;02-01-2019 00:00:00;13.4
390006;02-01-2019 01:00:00;12.9
390006;02-01-2019 02:00:00;12.5
390006;02-01-2019 03:00:00;11.8
390006;02-01-2019 04:00:00;11.6
390006;02-01-2019 05:00:00;10.3
390006;02-01-2019 06:00:00;8.5
390006;02-01-2019 07:00:00;7.2
390006;02-01-2019 08:00:00;4.8
390006;02-01-2019 09:00:00;3.7
390006;02-01-2019 10:00:00;6.6
390006;02-01-2019 11:00:00;10.4
390006;02-01-2019 12:00:00;11.8
390006;02-01-2019 13:00:00;14.3
390006;02-01-2019 14:00:00;14.2
390006;02-01-2019 15:00:00;16.1
390006;02-01-2019 16:00:00;17.0
390006;02-01-2019 17:00:00;17.3
390006;02-01-2019 18:00:00;18.8
390006;02-01-2019 19:00:00;19.2
390006;02-01-2019 20:00:00;19.2
390006;02-01-2019 21:00:00;18.5
390006;02-01-2019 22:00:00;18.9
390006;02-01-2019 23:00:00;17.5
390006;03-01-2019 00:00:00;15.6
390006;03-01-2019 01:00:00;12.9
390006;03-01-2019 02:00:00;11.5
390006;03-01-2019 03:00:00;10.3
390006;03-01-2019 04:00:00;9.7
390006;03-01-2019 05:00:00;7.0
390006;03-01-2019 06:00:00;4.3
390006;03-01-2019 07:00:00;3.4
390006;03-01-2019 08:00:00;3.8
390006;03-01-2019 09:00:00;4.0
390006;03-01-2019 10:00:00;7.2
390006;03-01-2019 11:00:00;9.9
390006;03-01-2019 12:00:00;11.8
390006;03-01-2019 13:00:00;13.3
390006;03-01-2019 14:00:00;13.4
390006;03-01-2019 15:00:00;15.4
390006;03-01-2019 16:00:00;18.0
390006;03-01-2019 17:00:00;17.6
390006;03-01-2019 18:00:00;19.7
390006;03-01-2019 19:00:00;21.1
